city,lon,lat,temperature,humidity,cloudiness,wind speed
longyearbyen,15.63,78.22,46.4,81.0,75.0,4.7
kapaa,-159.32,22.08,84.2,83.0,75.0,11.41
santa rosa,-64.29,-36.62,34.04,57.0,0.0,5.19
mataura,168.86,-46.19,44.48,93.0,20.0,7.99
puerto ayora,-90.35,-0.74,75.2,69.0,90.0,16.11
boa vista,-60.67,2.82,77.0,94.0,20.0,3.36
manta,24.1,45.1,61.31,99.0,92.0,2.73
veinticinco de mayo,-54.75,-27.38,55.82,90.0,92.0,10.45
vaini,74.49,15.34,70.58,98.0,92.0,6.98
port alfred,26.89,-33.59,70.94,56.0,20.0,11.68
toora-khem,96.11,52.47,58.43,86.0,20.0,2.17
namibe,12.15,-15.19,66.98,98.0,0.0,12.46
kalmunai,81.82,7.42,74.18,99.0,0.0,2.62
hermanus,19.24,-34.42,64.1,49.0,20.0,5.53
upernavik,-56.15,72.79,40.07,92.0,80.0,11.9
rikitea,-134.97,-23.12,74.18,100.0,92.0,17.27
karratha,116.85,-20.74,59.06,46.0,0.0,4.63
yulara,130.99,-25.24,68.0,30.0,90.0,11.41
aksu,76.93,52.04,51.8,93.0,75.0,12.8
severo-yeniseyskiy,93.04,60.37,55.19,98.0,92.0,2.95
cherskiy,161.3,68.75,71.21,36.0,76.0,10.0
albany,-73.75,42.65,78.8,74.0,75.0,6.93
lebu,38.73,8.96,57.2,93.0,75.0,4.7
saint-philippe,-73.48,45.36,78.8,88.0,1.0,5.82
georgetown,-58.16,6.8,78.8,88.0,0.0,4.7
hasaki,140.83,35.73,84.2,83.0,40.0,4.7
sur,59.53,22.57,88.4,83.0,64.0,7.99
norman wells,-126.83,65.28,82.4,34.0,20.0,10.29
meulaboh,96.13,4.14,78.32,100.0,68.0,3.18
ilulissat,-51.1,69.22,50.0,61.0,75.0,16.11
diffa,12.61,13.32,81.92,64.0,0.0,11.45
merrill,-121.6,42.03,91.4,22.0,1.0,4.7
ushuaia,-68.31,-54.81,42.8,92.0,20.0,18.95
cidreira,-50.22,-30.17,52.67,100.0,100.0,8.66
saskylakh,114.09,71.97,36.65,78.0,56.0,6.64
khatanga,102.47,71.98,45.38,76.0,0.0,3.96
honningsvag,25.97,70.98,53.12,90.0,20.0,5.53
yellowknife,-114.38,62.45,68.0,45.0,40.0,9.17
punta arenas,-70.91,-53.16,44.6,70.0,0.0,34.45
jamestown,138.6,-33.21,53.57,62.0,0.0,14.81
dikson,80.55,73.51,47.63,89.0,100.0,21.07
